commune_name,commune_id,commune_population_size,household,density_per_km2
Echchallalate,28822,153118,27433,10614.16
Sidi Maarouf,20192,30627,5712,2149.24
Anfa,20040,118057,22528,9013.13
Assoukhour Assawda,20320,120480,24751,35192.35
Ben Msick,20023,134934,22788,18783.46
Bou Chentouf,20500,165443,32743,17667.91
El Maarif,20390,184958,36683,12646.76
Hay Hassani,20220,140728,26404,7957.65
Hay Mohammadi,20570,106843,20434,10690.56
Ain Chock,20190,147945,24882,10875.91
Ain Sebaa,20590,147103,25560,16482.41
Al Fida,20520,155982,31322,35225.50
Al Idrissia,20450,109565,20423,41799.22
Lissasfa,20232,44568,8216,1176.27
Mers Sultan,20550,128165,26511,12860.17
Moulay Rachid,20660,183195,29881,18268.13
Sidi Belyout,20000,175098,37642,13853.37
Sidi Moumen,20400,117839,19653,11900.13
Sidi Othmane,20700,102278,17242,19805.89
Ahl Laghlam,29640,22926,3735,1950.40
Sidi Bernoussi,20600,151864,27068,10197.64
Moulay Youssef,20060,88758,17081,12660.21
